"unigram","bigram","freq"
"right","now",193
"last","night",183
"looking","forward",148
"feel","like",137
"can","get",115
"looks","like",105
"just","like",103
"make","sure",103
"next","week",102
"years","ago",102
"happy","birthday",93
"just","got",93
"thanks","follow",92
"great","day",88
"last","year",87
"new","york",87
"first","time",85
"robert","kaufman",80
"will","always",79
"mister","rogers",75
"thanks","following",74
"good","morning",73
"one","day",72
"please","follow",71
"great","time",68
"little","boy",68
"every","day",65
"free","spirit",64
"let","know",64
"good","luck",62
"year","old",62
"many","people",59
"u","know",59
"valentines","day",59
"even","though",57
"follow","back",57
"one","thing",57
"will","get",57
"best","friend",56
"pretty","sure",56
"can","help",54
"us","know",54
"im","sure",53
"next","time",53
"will","see",53
"wait","see",52
"hydrogen","ions",51
"feels","like",50
"want","go",50
"can","see",47
"get","back",47
"high","school",47
"can","go",46
"tonight","pm",46
"big","sword",45
"dont","think",45
"get","one",45
"last","years",45
"pretty","much",45
"south","carolina",45
"can","also",44
"dont","know",44
"let","us",43
"makes","sense",43
"south","africa",43
"will","take",43
"breast","cancer",42
"come","see",42
"dont","want",42
"one","way",42
"two","weeks",42
"u","ur",42
"years","old",42
"dont","like",41
"getting","ready",41
"happy","thanksgiving",41
"thanks","much",41
"anyone","else",40
"can","use",40
"every","time",40
"hope","see",40
"indiana","stucco",40
"later","week",40
"must","say",40
"piece","paper",40
"get","ready",39
"get","sleep",39
"go","back",39
"haha","well",39
"make","one",39
"can","still",38
"design","team",38
"gonna","get",38
"look","like",38
"spring","break",38
"customer","service",37
"days","ago",37
"good","night",37
"new","home",37
"sounds","like",37
"will","use",37
"best","thing",36
"planing","going",36
"something","wrong",36
"think","funny",36
"get","way",35
"like","call",35
"many","times",35
"much","time",35
"oh","well",35
"th","birthday",35
"time","around",35
"trying","get",35
"ammonium","hydroxide",34
"energy","electrons",34
"everything","need",34
"follow","please",34
"go","ahead",34
"going","make",34
"now","work",34
"people","say",34
"r","u",34
"will","try",34
"everyone","else",33
"hi","hi",33
"long","time",33
"love","tell",33
"mothers","day",33
"next","year",33
"sure","will",33
"thank","much",33
"u","can",33
"bruno","mars",32
"doesnt","mean",32
"get","better",32
"gift","card",32
"just","come",32
"just","trying",32
"know","can",32
"love","babe",32
"michael","miller",32
"new","people",32
"new","show",32
"since","last",32
"today","tomorrow",32
"can","give",31
"college","football",31
"come","hang",31
"great","deal",31
"just","saw",31
"things","like",31
"today","day",31
"want","see",31
"well","well",31
"back","now",30
"boy","big",30
"can","take",30
"carolina","attractions",30
"early","s",30
"ever","come",30
"family","friends",30
"first","season",30
"gaston","south",30
"good","time",30
"home","run",30
"human","rights",30
"im","still",30
"june","th",30
"know","clap",30
"let","go",30
"well","good",30
"also","good",29
"always","thought",29
"coming","back",29
"just","love",29
"just","two",29
"spread","word",29
"stay","tuned",29
"steve","jobs",29
"thanks","retweet",29
"want","know",29
"went","back",29
"will","go",29
"ass","finish",28
"book","club",28
"cant","see",28
"come","find",28
"counter","counter",28
"get","see",28
"going","take",28
"got","see",28
"grocery","store",28
"hello","world",28
"hot","hell",28
"job","done",28
"last","name",28
"least","one",28
"like","today",28
"little","bit",28
"million","dollar",28
"people","know",28
"please","let",28
"really","cool",28
"short","term",28
"sunday","night",28
"take","pictures",28
"ten","years",28
"thanks","rt",28
"thrust","phase",28
"washington","dc",28
"will","never",28
"yes","just",28
"yes","know",28
"baby","girl",27
"can","read",27
"day","work",27
"felt","like",27
"follow","great",27
"guess","just",27
"happy","hour",27
"last","month",27
"need","big",27
"one","else",27
"one","favorite",27
"participatory","medicine",27
"party","sunday",27
"please","contact",27
"polymer","clay",27
"significant","impacts",27
"someone","told",27
"sorry","everyone",27
"started","working",27
"tell","going",27
"try","get",27
"wait","till",27
"wanting","get",27
"way","go",27
"april","fools",26
"best","friends",26
"commencement","will",26
"consent","agreement",26
"cough","sneeze",26
"feel","good",26
"friday","everyone",26
"funny","man",26
"goal","well",26
"hunger","games",26
"last","week",26
"looked","like",26
"might","just",26
"much","better",26
"much","everything",26
"one","swing",26
"primary","goal",26
"put","together",26
"really","good",26
"rt","rt",26
"talk","something",26
"tha","carter",26
"throat","cancer",26
"time","go",26
"tonight","now",26
"wait","next",26
"want","help",26
"yea","yea",26
"amazing","night",25
"apple","store",25
"come","back",25
"couple","hours",25
"feel","free",25
"get","best",25
"going","go",25
"good","im",25
"good","way",25
"im","going",25
"know","someone",25
"know","two",25
"last","post",25
"love","people",25
"meeting","new",25
"michelle","l",25
"need","get",25
"new","website",25
"oh","god",25
"really","pretty",25
"right","back",25
"san","diego",25
"see","like",25
"time","make",25
"today","will",25
"u","say",25
"u","want",25
"always","wanting",24
"another","side",24
"anxiety","disorder",24
"ask","question",24
"ass","first",24
"clan","royal",24
"day","just",24
"day","make",24
"enough","know",24
"first","take",24
"front","groups",24
"fuck","wit",24
"get","someones",24
"happy","mothers",24
"happy","valentines",24
"hear","things",24
"hours","ago",24
"junior","seau",24
"just","say",24
"like","good",24
"little","always",24
"living","room",24
"medical","technology",24
"much","can",24
"oh","yeah",24
"old","issues",24
"old","one",24
"people","will",24
"rt","love",24
"say","feel",24
"school","today",24
"see","another",24
"side","skip",24
"skip","understand",24
"someones","ass",24
"sure","can",24
"team","members",24
"u","guys",24
"understand","little",24
"walt","disney",24
"want","whole",24
"will","still",24
"wonderful","day",24
"work","time",24
"also","noticed",23
"always","laughs",23
"back","work",23
"card","follower",23
"change","plans",23
"day","can",23
"derby","winner",23
"dollar","itunes",23
"faceplants","gets",23
"first","week",23
"follow","follower",23
"follower","will",23
"friend","always",23
"friend","faceplants",23
"funny","whenever",23
"get","dollar",23
"gets","hurt",23
"great","work",23
"hard","drive",23
"horse","boom",23
"hurt","friend",23
"itunes","gift",23
"just","wanna",23
"laughs","odd",23
"long","run",23
"los","angeles",23
"make","feel",23
"makes","feel",23
"need","right",23
"new","job",23
"new","years",23
"noticed","vabletron",23
"odd","haha",23
"picked","derby",23
"please","make",23
"really","want",23
"rt","anyone",23
"s","s",23
"say","hi",23
"second","season",23
"show","horse",23
"someones","friend",23
"sorta","show",23
"thanks","link",23
"told","us",23
"tomorrow","love",23
"towards","end",23
"vabletron","picked",23
"way","well",23
"whenever","someones",23
"will","ever",23
"will","really",23
