"unigram","bigram","trigram","quadgram","freq"
"gaston","south","carolina","attractions",30
"little","boy","big","sword",30
"always","wanting","get","someones",24
"another","side","skip","understand",24
"get","someones","ass","first",24
"got","see","another","side",24
"just","got","see","another",24
"little","always","wanting","get",24
"see","another","side","skip",24
"side","skip","understand","little",24
"skip","understand","little","always",24
"someones","ass","first","take",24
"understand","little","always","wanting",24
"wanting","get","someones","ass",24
"also","noticed","vabletron","picked",23
"always","laughs","odd","haha",23
"derby","winner","sorta","show",23
"dollar","itunes","gift","card",23
"faceplants","gets","hurt","friend",23
"follow","follower","will","get",23
"follower","will","get","dollar",23
"friend","always","laughs","odd",23
"friend","faceplants","gets","hurt",23
"funny","whenever","someones","friend",23
"get","dollar","itunes","gift",23
"gets","hurt","friend","always",23
"hurt","friend","always","laughs",23
"itunes","gift","card","follower",23
"noticed","vabletron","picked","derby",23
"picked","derby","winner","sorta",23
"please","follow","follower","will",23
"someones","friend","faceplants","gets",23
"sorta","show","horse","boom",23
"think","funny","whenever","someones",23
"vabletron","picked","derby","winner",23
"whenever","someones","friend","faceplants",23
"will","get","dollar","itunes",23
"winner","sorta","show","horse",23
"bands","sure","long","set",22
"college","football","fully","myelinated",22
"just","two","bands","sure",22
"long","set","just","come",22
"paying","college","football","fully",22
"set","just","come","anyway",22
"sure","long","set","just",22
"two","bands","sure","long",22
"chicks","claiming","kids","theres",21
"claiming","kids","theres","smdh",21
"dads","hoodwinked","chicks","claiming",21
"feel","sorry","dads","hoodwinked",21
"hoodwinked","chicks","claiming","kids",21
"just","kuz","people","say",21
"kuz","people","say","u",21
"mad","just","kuz","people",21
"movie","recommendation","robin","harris",21
"people","say","u","ratchet",21
"recommendation","robin","harris","bebe",21
"robin","harris","bebe","kids",21
"say","u","ratchet","truth",21
"something","tell","paola","doe",21
"sorry","dads","hoodwinked","chicks",21
"tell","paola","doe","c",21
"u","ratchet","truth","hurts",21
"wow","mad","just","kuz",21
"a","agreed","programs","pro",20
"actual","thing","outside","pants",20
"agreed","programs","pro","public",20
"apparently","gone","box","office",20
"athletes","manifestation","notion","privacy",20
"blasted","think","headphones","messed",20
"box","office","ordered","tickets",20
"brush","ya","shouldas","stay",20
"crotch","actual","thing","outside",20
"everyone","safe","fun","homecoming",20
"friday","everyone","safe","fun",20
"friends","steal","ipod","take",20
"fucking","volume","just","blasted",20
"fun","homecoming","halloween","weekend",20
"gone","box","office","ordered",20
"guy","friends","steal","ipod",20
"headphones","messed","scared","shit",20
"hmm","well","like","call",20
"ipod","take","pictures","crotch",20
"jayz","brush","ya","shouldas",20
"jordanyoung","sextesting","olympic","athletes",20
"just","blasted","think","headphones",20
"like","jayz","brush","ya",20
"like","savage","early","s",20
"manifestation","notion","privacy","privilege",20
"notion","privacy","privilege","whiteness",20
"now","like","jayz","brush",20
"office","ordered","tickets","person",20
"olympic","athletes","manifestation","notion",20
"omg","fucking","volume","just",20
"ordered","tickets","person","like",20
"person","like","savage","early",20
"pictures","crotch","actual","thing",20
"privacy","privilege","whiteness","maleness",20
"pro","public","speaking","sometimes",20
"programs","pro","public","speaking",20
"public","speaking","sometimes","buildings",20
"rebecca","jordanyoung","sextesting","olympic",20
"rt","apparently","gone","box",20
"safe","fun","homecoming","halloween",20
"sextesting","olympic","athletes","manifestation",20
"speaking","sometimes","buildings","speak",20
"steal","ipod","take","pictures",20
"take","pictures","crotch","actual",20
"think","headphones","messed","scared",20
"tickets","person","like","savage",20
"volume","just","blasted","think",20
"well","florida","insanely","hot",20
"ya","shouldas","stay","one",20
"yep","now","like","jayz",20
"ahead","towards","end","march",19
"already","clogged","just","moved",19
"anyone","else","problem","cruise",19
"ashley","excited","see","pie",19
"assist","astros","run","earlier",19
"atlanta","now","way","dc",19
"better","expected","yesterday","longest",19
"book","looks","beautiful","xo",19
"choose","mba","follow","nyc",19
"clogged","just","moved","couple",19
"come","find","josh","ritter",19
"cruise","lines","poach","clients",19
"else","problem","cruise","lines",19
"excited","see","pie","book",19
"expected","yesterday","longest","ran",19
"follow","nyc","london","fulltime",19
"full","year","choose","mba",19
"go","ahead","towards","end",19
"happens","rt","anyone","else",19
"just","like","can","get",19
"just","moved","couple","days",19
"like","can","get","team",19
"lines","poach","clients","rebook",19
"london","fulltime","semester","bangkok",19
