"unigram","bigram","trigram","freq"
"let","us","know",39
"boy","big","sword",30
"gaston","south","carolina",30
"little","boy","big",30
"south","carolina","attractions",30
"u","know","clap",30
"primary","goal","well",26
"always","wanting","get",24
"another","side","skip",24
"ass","first","take",24
"get","someones","ass",24
"got","see","another",24
"happy","mothers","day",24
"happy","valentines","day",24
"just","got","see",24
"little","always","wanting",24
"see","another","side",24
"side","skip","understand",24
"skip","understand","little",24
"someones","ass","first",24
"understand","little","always",24
"wanting","get","someones",24
"also","noticed","vabletron",23
"always","laughs","odd",23
"derby","winner","sorta",23
"dollar","itunes","gift",23
"faceplants","gets","hurt",23
"follow","follower","will",23
"follower","will","get",23
"friend","always","laughs",23
"friend","faceplants","gets",23
"funny","whenever","someones",23
"get","dollar","itunes",23
"gets","hurt","friend",23
"gift","card","follower",23
"hurt","friend","always",23
"itunes","gift","card",23
"laughs","odd","haha",23
"noticed","vabletron","picked",23
"picked","derby","winner",23
"please","follow","follower",23
"show","horse","boom",23
"someones","friend","faceplants",23
"sorta","show","horse",23
"think","funny","whenever",23
"vabletron","picked","derby",23
"whenever","someones","friend",23
"will","get","dollar",23
"winner","sorta","show",23
"advertising","people","good",22
"bands","sure","long",22
"college","football","fully",22
"couple","days","ago",22
"football","fully","myelinated",22
"go","night","night",22
"im","pretty","sure",22
"just","come","anyway",22
"just","two","bands",22
"long","set","just",22
"new","york","city",22
"paying","college","football",22
"please","make","sure",22
"set","just","come",22
"sure","long","set",22
"two","bands","sure",22
"chicks","claiming","kids",21
"claiming","kids","theres",21
"dads","hoodwinked","chicks",21
"feel","sorry","dads",21
"harris","bebe","kids",21
"hoodwinked","chicks","claiming",21
"just","kuz","people",21
"kids","theres","smdh",21
"kuz","people","say",21
"mad","just","kuz",21
"movie","recommendation","robin",21
"paola","doe","c",21
"people","say","u",21
"ratchet","truth","hurts",21
"recommendation","robin","harris",21
"robin","harris","bebe",21
"say","u","ratchet",21
"something","tell","paola",21
"sorry","dads","hoodwinked",21
"tell","paola","doe",21
"u","ratchet","truth",21
"wow","mad","just",21
"a","agreed","programs",20
"actual","thing","outside",20
"agreed","programs","pro",20
"apparently","gone","box",20
"athletes","manifestation","notion",20
"blasted","think","headphones",20
